timestamp,open,high,low,close,volume
2024-01-01,42100,42500,42000,42300,1250000
2024-01-02,42300,42800,42200,42600,1350000
2024-01-03,42600,43100,42500,42900,1400000
2024-01-04,42900,43400,42800,43200,1450000
2024-01-05,43200,43700,43100,43500,1500000
2024-01-06,43500,44000,43400,43800,1550000
2024-01-07,43800,44300,43700,44100,1600000
2024-01-08,44100,44600,44000,44400,1650000
2024-01-09,44400,44900,44300,44700,1700000
2024-01-10,44700,45200,44600,45000,1750000
2024-01-11,45000,45500,44900,45300,1800000
2024-01-12,45300,45800,45200,45600,1850000
2024-01-13,45600,46100,45500,45900,1900000
2024-01-14,45900,46400,45800,46200,1950000
2024-01-15,46200,46700,46100,46500,2000000
2024-01-16,46500,47000,46400,46800,2050000
2024-01-17,46800,47300,46700,47100,2100000
2024-01-18,47100,47600,47000,47400,2150000
2024-01-19,47400,47900,47300,47700,2200000
2024-01-20,47700,48200,47600,48000,2250000
2024-01-21,48000,48500,47900,48300,2300000
2024-01-22,48300,48800,48200,48600,2350000
2024-01-23,48600,49100,48500,48900,2400000
2024-01-24,48900,49400,48800,49200,2450000
2024-01-25,49200,49700,49100,49500,2500000
2024-01-26,49500,50000,49400,49800,2550000
2024-01-27,49800,50300,49700,50100,2600000
2024-01-28,50100,50600,50000,50400,2650000
2024-01-29,50400,50900,50300,50700,2700000
2024-01-30,50700,51200,50600,51000,2750000
2024-01-31,51000,51500,50900,51300,2800000
2024-02-01,51300,51800,51200,51600,2850000
2024-02-02,51600,52100,51500,51900,2900000
2024-02-03,51900,52400,51800,52200,2950000
2024-02-04,52200,52700,52100,52500,3000000
2024-02-05,52500,53000,52400,52800,3050000
2024-02-06,52800,53300,52700,53100,3100000
2024-02-07,53100,53600,53000,53400,3150000
2024-02-08,53400,53900,53300,53700,3200000
2024-02-09,53700,54200,53600,54000,3250000
2024-02-10,54000,54500,53900,54300,3300000
2024-02-11,54300,54800,54200,54600,3350000
2024-02-12,54600,55100,54500,54900,3400000
2024-02-13,54900,55400,54800,55200,3450000
2024-02-14,55200,55700,55100,55500,3500000
2024-02-15,55500,56000,55400,55800,3550000
2024-02-16,55800,56300,55700,56100,3600000
2024-02-17,56100,56600,56000,56400,3650000
2024-02-18,56400,56900,56300,56700,3700000
2024-02-19,56700,57200,56600,57000,3750000
2024-02-20,57000,57500,56900,57300,3800000
